year,name,n
2021,Larry,19
2020,Larry,23
2019,Larry,22
2018,Larry,24
2017,Larry,29
2016,Larry,29
2015,Larry,28
2014,Larry,29
2013,Larry,30
2012,Larry,34
2011,Larry,34
2010,Larry,34
2009,Larry,34
2008,Larry,33
2007,Larry,36
2006,Larry,32
2005,Larry,32
2004,Larry,31
2003,Larry,36
2002,Larry,34
2001,Larry,33
2000,Larry,34
1999,Larry,36
1998,Larry,39
1997,Larry,35
1996,Larry,39
1995,Larry,39
1994,Larry,39
1993,Larry,41
1992,Larry,42
1991,Larry,41
1990,Larry,43
1989,Larry,43
1988,Larry,46
1987,Larry,43
1986,Larry,42
1985,Larry,47
1984,Larry,45
1983,Larry,48
1982,Larry,49
1981,Larry,46
1980,Larry,53
1979,Larry,46
